comment_id,video_id,comment_text,like_count,comment_date,channel_id
Ugg1C45DCAf37ngCoAEC,pXRviuL6vMY,"The ""scrolling through the comments while listening"" squad",42684,2017-07-09,UCSWIzTt6PG1kRAvN6Zmq8hA
UggBpdsuD1uYzXgCoAEC,LjhCEhWiKXk,"If you ever feel bad about yourself. Remember, someone out there thinks you're amazing just the way you are",75684,2016-01-27,UCsucA47HBlwtvboUfDO6s1w
Uggd3lIHtYPbb3gCoAEC,7wtfhZwyrcc,"Me: I wanna stop.
YouTube: We can't.",6190,2017-05-31,UCVkDTsmOyxASvoQ1pEONLAQ
UggmriOm-6NXiHgCoAEC,fKopy74weus,1:00 when your life goal is to be a washing machine,8360,2017-07-19,UCAZTZaf0Ikze_qTquGHQk4g
UggYqPriiN4tAXgCoAEC,fKopy74weus,1:00 when your fan is broken,9535,2017-07-14,UCo7V01MAA8Q12SX_qLMLuig
Ugh0ImE_TrD9HHgCoAEC,7wtfhZwyrcc,"My neighbors love this song so much that they threw a brick at my window, so they can hear it better :)",20324,2017-06-15,UCS9Iun6ZfC4xBerGZmWD_xA
UghHI1RHpnigb3gCoAEC,7wtfhZwyrcc,"i let my house listen to this,now it's a castle",10230,2017-05-18,UC0Tjbo6QUV3b3dW0JcetlXQ
UghI06SUwwH-8XgCoAEC,fKopy74weus,"Employer: so what skills do you have? 
Me: 1:00
Employer:  hired",28647,2017-07-30,UCPtGhbKMJqjxl1E3KLBdAmg
Ughnmi-xB2Dz5ngCoAEC,fKopy74weus,1:00 when you farted in class accidentally and your crush sits behind you,8723,2017-07-25,UCex6Vsd4jSN1X3R7Ni03JnA
UghRSvoR4udfKngCoAEC,fLexgOxsZu0,Hey random guy scrolling comments...have a great day,11114,2017-01-15,UCUcK-yxIM5NAMbQRxYB9ALw
Ugi34qJG7UTK8HgCoAEC,09R8_2nJtjg,"So when they crash a wedding it's all fine, but when I do it, security gets called and i get arrested",5854,2015-01-19,UC4dcqDvMhr7MQh-kB55ulAg
Ugib3rlOUkkbA3gCoAEC,fKopy74weus,1:00 when your home doesn't have electricity so you have to generate your own,37803,2017-08-01,UC6IWPVfHJMMYbhI1gRGJmyA
Ugikj9rdff7OFXgCoAEC,k2qgadSvNyU,this video is so aesthetically pleasing...,6879,2017-07-09,UCWI-e3-nIl4hvfpACtCj-Fw
Ugizta7sj2P7z3gCoAEC,kffacxfA7G4,People That See This Comment Happy New Years,749,2016-12-30,UChNqVg623bYCw0BvnaEht8w
UgiZvcz-2REbg3gCoAEC,k2qgadSvNyU,I love this video because it's not just her getting over the boy herself she's got support from her girls,6856,2017-07-23,UCbbocUMFky4CqbZJbwkI5QQ
Ugj7Arqow7LLEHgCoAEC,e-ORhEE9VVg,I love this so so much,18269,2014-11-10,UCKr2Dvc51C6QMaXp6DrULHA
Ugja49fypHtWvngCoAEC,k2qgadSvNyU,Now where is that guy who puts whole lyrics in the comment?,3489,2017-07-27,UC22OyRz5McAAxQuq9e1DQMw
UgjgWL616CRRl3gCoAEC,fKopy74weus,"Imagine Dragons: Thunder
Everyone: Panda
Me: Tinder",9738,2017-05-04,UC9_dTo7gwdQjYWIW5XNLlCQ
